step,t,true_n,true_e,true_d,true_vn,true_ve,true_vd,true_qw,true_qx,true_qy,true_qz,true_wx,true_wy,true_wz,est_n,est_e,est_d,est_vn,est_ve,est_vd,est_qw,est_qx,est_qy,est_qz,est_wx,est_wy,est_wz,m0,m1,m2,m3,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
57,0.228000,0.000000,-0.000000,-4.928621,0.000000,-0.000000,0.338662,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.892823,0.000000,0.000000,0.288187,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527872,0.527872,0.527872,0.527872,0.000000,0.000000,-10.290678,0.000000,0.000000,0.000000
58,0.232000,0.000000,-0.000000,-4.927274,0.000000,-0.000000,0.336696,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.892317,0.000000,0.000000,0.286089,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527721,0.527721,0.527721,0.527721,0.000000,-0.000000,-10.296384,0.000000,0.000000,0.000000
59,0.236000,0.000000,-0.000000,-4.925935,0.000000,-0.000000,0.334713,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.891795,0.000000,0.000000,0.283973,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527570,0.527570,0.527570,0.527570,0.000000,-0.000000,-10.301391,0.000000,0.000000,0.000000
60,0.240000,0.000000,-0.000000,-4.924604,0.000000,-0.000000,0.332715,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.891257,0.000000,0.000000,0.281844,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527418,0.527418,0.527418,0.527418,0.000000,0.000000,-10.305754,0.000000,0.000000,0.000000
61,0.244000,0.000000,-0.000000,-4.923281,0.000000,-0.000000,0.330704,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.890704,0.000000,0.000000,0.279702,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527266,0.527266,0.527266,0.527266,0.000000,0.000000,-10.309524,0.000000,0.000000,0.000000
62,0.248000,0.000000,-0.000000,-4.921967,0.000000,-0.000000,0.328682,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.890139,0.000000,0.000000,0.277551,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527114,0.527114,0.527114,0.527114,0.000000,-0.000000,-10.312748,0.000000,0.000000,0.000000
63,0.252000,0.000000,-0.000000,-4.920660,0.000000,-0.000000,0.326651,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.889561,0.000000,0.000000,0.275393,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526961,0.526961,0.526961,0.526961,0.000000,0.000000,-10.315470,0.000000,0.000000,0.000000
64,0.256000,0.000000,-0.000000,-4.919362,0.000000,-0.000000,0.324613,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.888972,0.000000,0.000000,0.273228,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526809,0.526809,0.526809,0.526809,0.000000,0.000000,-10.317729,0.000000,0.000000,0.000000
65,0.260000,0.000000,-0.000000,-4.918071,0.000000,-0.000000,0.322569,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.888372,0.000000,0.000000,0.271058,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526656,0.526656,0.526656,0.526656,0.000000,0.000000,-10.319563,0.000000,0.000000,0.000000
66,0.264000,0.000000,-0.000000,-4.916789,0.000000,-0.000000,0.320520,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.887764,0.000000,0.000000,0.268886,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526504,0.526504,0.526504,0.526504,0.000000,0.000000,-10.321006,0.000000,0.000000,0.000000
